iteration,accepted,SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV
168.0,rerun,203.0,-203.0,-408.322971236,-203.14454811,1041.62334002,-203.0,-1e+200,306097256.971,417708.493264,306053167.507
169.0,accepted,203.0,-203.0,-408.322971236,-203.14454811,1041.62334002,-203.0,-1e+200,306159734.5,359958.806204,306132231.973
170.0,rejected,203.0,-203.0,-408.322971236,-203.14454811,1041.62334002,-203.0,-1e+200,306080249.332,415936.711964,306096080.667
171.0,rerun,203.0,-203.0,-408.322971236,-203.14454811,1041.62334002,-203.0,-1e+200,306093365.109,373518.739074,306163995.259
172.0,rejected,203.0,-203.0,-408.322971236,-203.14454811,1041.62334002,-203.0,-1e+200,306090163.578,454983.987068,306160943.329
173.0,rerun,203.0,-203.0,-408.322971236,-203.14454811,1041.62334002,-203.0,-1e+200,306034749.905,472784.003662,306153921.59
174.0,rejected,203.0,-203.0,-408.322971236,-203.14454811,1041.62334002,-203.0,-1e+200,305919931.527,408589.740554,305765820.529
175.0,rerun,203.0,-203.0,-408.322971236,-203.14454811,1041.62334002,-203.0,-1e+200,306120114.928,416738.066845,306115609.788
176.0,rejected,203.0,-203.0,-408.322971236,-203.14454811,1041.62334002,-203.0,-1e+200,305949169.742,378297.99433,306012247.796
177.0,rerun,203.0,-203.0,-408.322971236,-203.14454811,1041.62334002,-203.0,-1e+200,305940581.261,375504.347136,305920883.333
178.0,accepted,203.0,-203.0,-408.322971236,-203.14454811,1041.62334002,-203.0,-1e+200,306163645.281,410230.031057,306102718.171
179.0,rejected,203.0,-203.0,-408.322971236,-203.14454811,1041.62334002,-203.0,-1e+200,306034691.301,525963.631886,306082654.301
180.0,rerun,203.0,-203.0,-408.322971236,-203.14454811,1041.62334002,-203.0,-1e+200,305865958.551,486822.422422,305816807.692
181.0,accepted,203.0,-203.0,-408.322971236,-203.14454811,1041.62334002,-203.0,-1e+200,306102432.493,354956.358371,306133112.244
182.0,accepted,203.0,-203.0,-408.322971236,-203.14454811,1041.62334002,-203.0,-1e+200,306136961.814,365144.564816,306147746.832
183.0,rejected,203.0,-203.0,-408.322971236,-203.14454811,1041.62334002,-203.0,-1e+200,305963144.576,366708.230731,305939729.119
184.0,rerun,203.0,-203.0,-408.322971236,-203.14454811,1041.62334002,-203.0,-1e+200,306200824.584,413414.811622,306098358.739
185.0,rejected,203.0,-203.0,-408.322971236,-203.14454811,1041.62334002,-203.0,-1e+200,306103509.371,478397.915691,306180629.912
186.0,rerun,203.0,-203.0,-408.322971236,-203.14454811,1041.62334002,-203.0,-1e+200,305947465.89,344839.46834,305969901.697
187.0,rejected,203.0,-203.0,-408.322971236,-203.14454811,1041.62334002,-203.0,-1e+200,306010048.519,311618.569383,305977114.981
188.0,rerun,203.0,-203.0,-408.322971236,-203.14454811,1041.62334002,-203.0,-1e+200,306080001.908,392366.838445,306068144.113
189.0,accepted,203.0,-203.0,-408.322971236,-203.14454811,1041.62334002,-203.0,-1e+200,306241406.605,514040.37641,306451252.616
190.0,rejected,203.0,-203.0,-408.322971236,-203.14454811,1041.62334002,-203.0,-1e+200,306208664.172,513267.739782,306206829.698
191.0,rerun,203.0,-203.0,-408.322971236,-203.14454811,1041.62334002,-203.0,-1e+200,306149732.654,419478.914537,306164401.388
192.0,rejected,203.0,-203.0,-408.322971236,-203.14454811,1041.62334002,-203.0,-1e+200,306055397.95,391364.364527,306076199.57
193.0,rerun,203.0,-203.0,-408.322971236,-203.14454811,1041.62334002,-203.0,-1e+200,306072422.91,443010.491893,306094424.933
194.0,rejected,203.0,-203.0,-408.322971236,-203.14454811,1041.62334002,-203.0,-1e+200,306062697.054,439167.351451,306109658.532
195.0,rerun,203.0,-203.0,-408.322971236,-203.14454811,1041.62334002,-203.0,-1e+200,306024797.618,489336.290945,306104055.257
196.0,rejected,203.0,-203.0,-408.322971236,-203.14454811,1041.62334002,-203.0,-1e+200,305888805.587,482936.185712,305866973.662
197.0,rerun,203.0,-203.0,-408.322971236,-203.14454811,1041.62334002,-203.0,-1e+200,306033940.581,405365.72166,305969683.393
198.0,rejected,203.0,-203.0,-408.322971236,-203.14454811,1041.62334002,-203.0,-1e+200,305964095.125,250037.704927,305995163.623
